SoldPrice;Type;YearBuilt;Area;Zip;Baths;Beds;GarageType;GarageSpaces;ParkingSpaces
265000;Raised Ranch;1953;76;60076;2;3;Detached;2;0
402000;1 Story;1955;76;60076;2;3;Detached;2;0
197000;Townhouse-2 Story;1958;76;60077;1;2;None;0;1
145000;Townhouse-2 Story;1958;76;60076;1;2;None;0;1
200000;Townhouse-2 Story;1958;76;60076;1;2;None;0;1
209756;Townhouse-2 Story;1958;76;60076;1;2;None;0;1
281000;1 Story;1955;76;60076;1;2;None;0;0
267000;1 Story;1951;76;60076;1;2;Detached;2;0
175000;Townhouse-2 Story;1958;76;60077;1;3;None;0;1
286500;1 Story;1958;76;60076;2;3;Detached;2;0
360000;1 Story;1960;76;60076;2;3;Detached;2;0
135000;Townhouse-2 Story;1957;76;60077;1;2;None;0;1
180000;Townhouse-2 Story;1957;76;60077;1;2;None;0;1
217000;Townhouse-2 Story;1957;76;60077;1;2;None;0;1
161500;Townhouse-2 Story;1957;76;60076;1;2;None;0;0
215000;Townhouse-2 Story, Other;1956;76;60077;1;2;None;0;0
175000;Townhouse-2 Story;1956;76;60077;1;2;None;0;1
184000;Townhouse-2 Story;1956;76;60077;1;2;None;0;1
190000;Townhouse-2 Story;1956;76;60077;1;2;None;0;1
201000;Townhouse-2 Story;1956;76;60077;1;2;None;0;1
205000;Townhouse-2 Story;1960;76;60077;1;2;None;0;1
197500;Townhouse-2 Story;1956;76;60077;1;2;None;0;0
238000;1 Story;1960;76;60076;1;3;None;0;0
186000;Townhouse-2 Story;1958;76;60076;1;2;None;0;1
285000;2 Stories;1951;76;60077;2;4;Detached;02.maj;0
271000;1 Story;1954;76;60076;2;3;Detached;1;1
319100;2 Stories;1941;76;60077;2;2;Detached;2;0
251000;Townhouse-2 Story;1963;76;60076;1;3;None;0;2
210000;Townhouse-2 Story, Townhouse 3+ Stories;1957;76;60077;1;3;None;0;2
220000;1 Story;1958;76;60076;1;2;Detached;2;0
180000;Townhouse-2 Story;1958;76;60076;1;3;None;0;1
244900;1 Story;1954;76;60077;2;3;Detached;02.maj;0
155000;Condo;UNK;76;60076;1;2;None;0;1
158400;Condo;UNK;76;60076;1;2;None;0;1
280000;Raised Ranch;1955;76;60077;1;3;Detached;2;0
360000;1 Story;1953;76;60076;2;3;Detached;2;0
192500;Townhouse-2 Story;1957;76;60076;1;2;None;0;1
242000;2 Stories;1941;76;60077;1;2;Detached;2;0
282000;2 Stories;1941;76;60077;1;2;Detached;1;0
275000;1 Story;1959;76;60077;2;3;Detached;2;0
239900;2 Stories;1950;76;60077;2;2;Detached;01.maj;0
135000;Condo;1975;76;60077;1;1;Attached;1;1
267000;1 Story;1954;76;60077;1;3;Attached;2;0
109000;Condo;1975;76;60077;1;1;Attached;1;0
120000;Condo, Mid Rise (4-6 Stories);UNK;76;60077;1;1;Attached;1;0
190000;Condo;1998;76;60076;1;2;Attached;1;0
355000;1 Story;1952;76;60077;2;3;Detached;2;0
145000;Condo;UNK;76;60076;1;2;None;0;1
155000;Condo;UNK;76;60076;1;2;None;0;1
156000;Condo;1965;76;60076;2;2;None;0;1
182000;Townhouse-2 Story;1956;76;60077;2;2;None;0;1
230000;Townhouse-2 Story;UNK;76;60076;1;2;None;0;1
